Company,Business Registration,Year of Incorporation,Chief Executive,CEO Position,Business Enquiry,Business Contact Person Position,Office Address,Postcode,City/Town,State,Country,Telephone,Fax,Email,Website,Production Processes,Products Manufactured/Business Line,Current Export Markets
Topflight Plastics Sdn Bhd,1066704-P,2013.0,Yap Chee Jin,Managing Director,,,"Plo 742, Jalan Keluli 12, Kawasan Perindustrian Pasir Gudang",81700.0,Pasir Gudang,Johor,Malaysia,+607-289 7337,,thplas@yahoo.com,,Extrusion Pelletising (Recycling),Recycled Resin,
Top-A Plastic Sdn Bhd,314073-X,1994.0,Alice Yeap Chooi Peng,Managing Director,Alice Yeap Chooi Peng,Managing Director,"Lot 2398, Jalan Dato Mohd Sidin, Off Jalan Connaught Bridge, Klang",41300.0,,Selangor,Malaysia,"603-3343 5796/8620,3342 3589",603-3343 8619,tonglin@tonmaplastic.com,www.topaplastic.com,"Injection Moulding , Printing, Spraying, Assembly, Metal Coating","Industrial Parts, Household and Engineering Parts, Home Appliances, Thermos Flasks , Houseware, Industrial and Construction, Mechanical",
Top Ten Plastics Industries Sdn Bhd,277634-P,1993.0,Chong Fatt Koh,Chief Operating Officer,Cheong Kok Wai,Managing Director,"11, Persiaran Perindustrian Silibin 1, Kawasan Perindustrian Ringan Silibin, Ipoh",30100.0,Ipoh,Perak,Malaysia,605-527 2888/4698/7219,605-527 2333,eossgrand@hotmail.com,www.toptenplastics.com,Film Blowing/Film Extrusion,"Bags/Sheet in foll for (Rice, Oil, Frozen Food, Foodstuffs, Beverages, Dairies, Hygienic). Stand Up Pouch, 3 Side Seal, Bottom Seal, Siide Seal, Center Seal, One Side/Both Side Gussett, PE Shrink and UV Films","Singapore, Thailand, Indonesia, Pakistan, Middle East"
Top Sifu (M) Sdn Bhd,201301015170 (1045003-X),2013.0,Cheong Chen Kent,Director,Cheong Chen Hao,General Manager,"37, Jalan Semenyih Integrated 3, Semenyih Integrated Industrial Park",43500.0,Semenyih,Selangor,Malaysia,603-8727 7698,,topcc123@gmail.com,www.topsifu.com/,"Blowing, Extrusion Pelletising (Recycling), Converting","Plastic Bag, Recycled Resins","United Kingdom, Italy, Spain, Singapore, Indonesia"
Top CC & Plastic Masterbatches Sdn Bhd,1070640-A,2013.0,Walter Chee,Director,John Tan,General Manager,"3, Jalan Perusahaan, Kawasan Perindustrian Parit Hulu, Bukit Bakri",84200.0,Muar,Johor,Malaysia,606-986 3239,606-986 3679,topsifu@gmail.com,www.topcc.com.my,"Compounds, Compound Extrusion","Calcium Carbonate (CC), Masterbatch, Color Masterbatch",
Top Bright Industries Sdn Bhd,1166433-M,2015.0,Goh Siew Lee,Director,Isa Bin Radimih,General Manager,"No. 2 & 4, Jalan Sagai 4, Sime Darby Business Park",51700.0,Pasir Gudang,Johor,Malaysia,607-255 7703,607-388 2908,info@toptenplastics.com,,"Blow Moulding, Extrusion","Jerrycan, Industrial and Construction - Products and Parts",
Tonma Polyethylene Sdn Bhd,493949-A,1979.0,,,Chng Tong Lin,Marketing Manager,"Lot 2, Kawasan Miel, Semambu, Kuantan",25350.0,,Pahang,Malaysia,609-566 1452,609-566 1990,general@topaplastic.com,,"Film Blowing/Film Extrusion, Pipe Extrusion","T-Shirt Bags, Packaging Bags, Garbage Bags, Industries Bags, HD/LDPE Pipes , Films and Bags, Industrial and Construction",
Toling Corporation (M) Sdn Bhd,224464-P,1991.0,YBhg Dato' Teoh Chew Peng,Chairman,Pat Teoh/Abby Teoh,Executive Director,"3rd & 4th Floors, 28, Lebuh Gereja",10200.0,,Pulau Pinang,Malaysia,604-262 7771,604-261 7697,topazdyn@tm.net.my,www.tolingcorp.com,,Resins,"Uruguay, Philippines, Indonesia, Thailand ,Vietnam, China, Singapore"
Toho Plastic Industries Sdn Bhd,1440745-H,2021.0,Ho Thau Phin @ Thomas Ho,Managing Director,Stella Ho,,"Lot No. 7, Lorong Perindustrian Kolombong Jaya, Pusat Perindustrian Kolombong Jaya, Miles 5 ½, Jalan Kolombong, Kota Kinabalu",88450.0,,Sabah,Malaysia,"6088-385 555, 012-833 8552",6088-382 422,elroy.yap@topflightplastics.com,www.kekalboleh.com/tpisb/,Injection Moulding,"Fittings for uPVC Electrical Conduit Pipe , Electrical and Electronics",
Tong Hong Plastic Industries,,2003.0,Kow Weng Huong,Director,Saw Kia Hong,Sales Director,"23, Jalan Jelapang Maju 2, Taman Perindustrian Ringan, Jelapang Maju, Ipoh",30020.0,,Perak,Malaysia,605-526 1323,605-526 1323,sales.tpm@pengroup.com.my,,"Blow Moulding, Injection Moulding","Marine Products, Floats and Nets Buckle, Water Sprinkle Accessories, Containers Caps and Insert , Agricultural, Containers and Bottles, Gardening",
Today's Plastics Industries Sdn Bhd,83669-M,1982.0,Woon Chien Yang,Operation Manager,Anthony Woon,Director,"Lot 22, Jalan RP3, Rawang Perdana Industrial Estate, Rawang",48000.0,,Selangor,Malaysia,603-6091 3366; 6017-333 2212,603-6091 0336,tosmacm@toshiba-machine.com.my,www.todays.com.my,"Injection Moulding, Injection Stretch Blow Moulding","PET Bottles, Containers, Closures & Custom-made, Industrial and Construction, Containers and Bottles",Asia Pacific
TNL Plastic Manufacturer Sdn Bhd,,,Tan Ken Meng,Managing Director,Chiew Ai Fii,Account,"Lot 16101, Jalan Nilai 3/16, Kawasan Perindustrian Nilai 3, Nilai",71800.0,,Negeri Sembilan,Malaysia,606-799 5135,606-7993 505,marketing@toyoink.com.my,,"Profile Extrusion , Recycling","Industrial and Construction Products and Parts, Recycler , Industrial and Construction","Vietnam, India, Brunei, Singapore"
TLG Packaging Sdn Bhd,278853-T,1993.0,Tan Aun Sim,Director,,,"137, 1st Floor, Jalan Susor Pemuda 2",85000.0,Segamat,Johor,Malaysia,+607 - 931 2769,+607 - 931 0769,toyo8@topla.com.my,,"Sheet Extrusion, Forming Machine","Lunch Box, Fruit Tray, Biscuit Tray & Etc. Foam Products, Packaging - Others",
Tin Ho Sdn Bhd,202101000733 (1401031-X),2021.0,Hoo Chooi Yoon,Director,Hoo Chooi Yoon,Director,"No. 36, Persiaran Perindustrian Pengkalan 2, Kawasan Peridnustrian Pengkalan",31500.0,Lahat,Perak,Malaysia,605-321 0616,,info@toyochem.com.my,,"Ideation, Prototyping , Sourcing, Costing, Commercialization","Hydroponics Trunking, Flower Pot, Acetal Clip, Tubing, Industrial and Construction",
Timur P.A. Pipe Industry Sdn Bhd,289692-X,1994.0,YBhg Dato' Loh Keng Chong,Executive Chairman,Loh Chiak Eong,Managing Director,"159, G1 Wisma Lam Hong (Ground Floor), Jalan Sungai Pinang",10150.0,,Pulau Pinang,Malaysia,"604-281 3000, 416 9888",604-282 2228,admin@tpehealthcare.com,www.timurpapipe.com,"Pipe Extrusion , Ultrasonic Welding","PE/Aluminum Composite Pipe for Cold and Hot Water, Gas and Compressed Air Application , Industrial and Construction","Middle East, Europe, Australia, Asia"
Thong Mee Plastic & Packaging Sdn Bhd,258253-U,1980.0,Yuen Lai Yeng,Managing Director,Yuen Lai Yeng,Managing Director,"11, Jalan Zarib 1, Zarib Industrial Park, Ipoh",31500.0,,Perak,Malaysia,605-322 6829,605-322 6629,everyield@hotmail.com,,"Compression Moulding, Film Blowing/Film Extrusion, Sheet Extrusion, Calendering","PVC Rigid Film, Plastic Boxes, Cases and Trays, HDPE and LDPE Bags",
Thong Guan Plastic & Paper Industries Sdn Bhd,73976-V,1977.0,YBhg Dato' PC Ang,CEO/ Managing Director,YBhg Dato' PK Ang/ Alvin Ang,Director/Director,"Lot 52, Jalan PKNK 1/6, Kawasan Perusahaan Sungai Petani, Sungai Petani",8000.0,,Kedah,Malaysia,604-4417888,604-4419888,info@transcert.com.my,www.thongguan.com,"Film Blowing/Film Extrusion, Film Casting, Blown and Cast Co-Extrusion, Bag Making","Cast Pallet Stretch Film, Blown Shrink Film, PE/PP Film, Sleeve and Bags, 100% Biodegradable Products/Flexible Packaging, Courier Bags , Films and Bags","Japan, Korea, ASEAN Nations, Australia, New Zealand, China, Europe, United States, South Africa, Algeria"
Thong Eik Masterbatch Industries Sdn Bhd,262816-X,1993.0,Wang Kuan Tang,Director,Wong Cheng Cheng,Sales & Purchase Executive,"1078, Jalan Aman 5/2, Kawasan Perindustrian Taman Makmur, Sg. Seluang",9600.0,Lunas,Kedah,Malaysia,"604-484 3558, 484 5067",604 - 484 3559,customercare@trienekens.com.my,www.thongeik.tech.officelive.com,,"Additives, Compounds, Masterbatches, Pigments, Resins, Stabilisers","Taiwan, Sri Lanka, Italy, Indonesia, Korea, United Arab Emirates"
THM Plastic Industries Sdn Bhd,389187-M,1978.0,Ch'ng Theng Gaik,Managing Director,Bacon Ch'ng,,"1334, Jalan Pahboi, Bukit Tambun, Simpang Ampat, Seberang Perai Selatan",14110.0,,Pulau Pinang,Malaysia,604-588 6777,604-588 6081,yeonkk@triplus.com.my,www.thmplastic.com.my,"Film Blowing/Film Extrusion, Co-Extrusion , Printing up to 8 Colours","LDPE, HDPE, LLDPE, mLLDPE and PP Bags , Films and Bags",
The Polyolefin Company (S) Pte Ltd,198001666-D,1980.0,Tamaru Ikuhiro,Managing Director,Jack Seah Teck Seng,"Marketing Manager, Sales & Marketing","150, Beach Road # 10-00, Gateway West",189720.0,Singapore,Singapore,Singapore,65-6292 9622,65-6293 8890,chew@trocellen.com.my,www.tpc.com.sg,,"Compounds, Resins","Asia Pacific, India Sub-Continent, Middle East & Africa"
The Potential Plastics Industries Sdn Bhd,214392-T,1988.0,TH Saik,Director,David Saik,Director,"Plot 87, Lorong Perusahaan Maju 6, Prai Industrial Estate (Phase 4), Butterworth, Prai",13600.0,,Pulau Pinang,Malaysia,604-507 6655,604-507 0681,tsplastics@gmail.com,www.potentialplastics.com,"Film Blowing/Film Extrusion , Printing and Cutting","Quality and Value Added Commercial, Food , Industrial and Medical ESD Bags, Specialise 1 to 12 colours print , Films and Bags, Industrial and Construction, Medical","Europe, Australia, United States, Asia"
Texchem-Pack (PP) Sdn Bhd,53719T,1979.0,Dr Yuma Konishi,President & Chief Executive Officer,Khow Hong Cheong,Executive Director,"Part of Lot 1241, Bayan Lepas Free Industrial Zone, Phase III, Bayan Lepas",11900.0,,Pulau Pinang,Malaysia,604-643 8661,604-644 3648,tsl3333@pd.jaring.my,www.texchempe.com,Injection Moulding,"Injection Molded Containers Parts and Trays, Medical Devices Contract Assembly , Industrial and Construction, Medical, Packaging","United States, Thailand, Singapore, China, Japan, Finland, Taiwan, Germany"
Texchem Polymers Sdn Bhd,677985-M,2005.0,Dennis Cheong,Yap Kee Keong,June Lim,Customer Service Manager,"1465, Mukim 11, Lorong Perusahaan Maju 6, Prai Industrial Estate, Phase 4",13600.0,Prai,Pulau Pinang,Malaysia,604-507 9753,604-502 5623,main@tubehomefurniture.com,www.texchem-polymers.com,"Compounds, Extrusion Sheet","BIO PP, BIO SAN, BIO HDPE , Films and Bags","Asean Countries, Japan, China, United States and Europe"
Teow Guan Chan,,1994.0,Tan Foh Ang,Managing Director,Tan Foh Ang,Managing Director,"1051, Jalan Pengkalan, Mukim 6, Bukit Tengah, Bukit Mertajam",14000.0,,Pulau Pinang,Malaysia,604-508 0518,604-508 0385,hedy@tycoplas.com,,Recycling,Recycled Resin - PE,
Teknor Apex Asia Pacific Pte Ltd,196300080/Z,1963.0,Stanly Tan,Managing Director,Heng Hock Peow,"Business Manager, Composites","41, Shipyard Road",628134.0,Singapore,Singapore,Singapore,65-6265 2544,65-6265 1821,sales@u-lik.com.my,www.teknorapex.com,,"Additives, Compounds, Masterbatches, Resins","Indian Sub-Continent, Asia Pacific Region, Middle East, Africa"
Texchem Materials Sdn Bhd,486955-M,1999.0,Yap Kee Keong,CEO,Yap Kee Keong,CEO,"Wisma Texchem, Lot 808 & 809, Jalan Subang 5, Taman Perindustrian Subang",47610.0,Subang Jaya,Selangor,Malaysia,603-5634 2630,603-5631 5540,alexw.uhuaplas@gmail.com,www.texmat.com,,"Chemicals, Foam, Others, Resins",
Teong Hin Plastic Industries Sdn Bhd,41019-T,1978.0,Tan Kin Sing,Managing Director,Mike Tan,General Manager,"3, Jalan Mashuri, Kawasan Perindustrian Kluang, Kluang",86000.0,,Johor,Malaysia,607-7879988/9281,607-7879299,psang@uniang.com,www.teonghin.com,"Blow Moulding, Injection Moulding, Extrusion , Mould Making","Knapsack Sprayers, Pressure Sprayers, DC Sprayers, Backpack Sprayers, Buckles for Bag, Motorcycle Body Sets, Leg Shields, Side Covers, Motorcycle Mirrors, Front Fenders, Head Frame Covers and Custom made plastic parts, OEM Manufacturing, Textile, Apparel and Bags, Toys, Games, Sports, Transportation, Promotional and Premium Gift Items","Indonesia, Philippines, Thailand"
Teong Kim Plastic Industries Sdn Bhd,95323-H,1984.0,Seow Teong Kim,,Stephany Teh,General Manager,"Lot 1, Jalan Perusahaan Kiri, Mukim of Setapak",53200.0,,Wilayah Persekutuan,Malaysia,603-4023 1626,603-4022 7357,unic2u_marketing@yahoo.com,www.teongkim.com.my,Injection Moulding,"Promotion & Premium items, Quality Household supplied of very wide varieties in house tooling division for special OEM projects/jobs, Clothes hanger, Hamper Basket , House Cleaning Utensils, Houseware, Industrial and Construction, OEM Manufacturing, Promotional and Premium Gifts","Australia, New Zealand, Singapore, Indonesia, United Kngdom, Middle East"
Teong Chuan Plastic (M) Sdn Bhd,33232-W,1977.0,Chuah Boon Ghee,Managing Director,Gary Chuah Siong Teck,Business Development Director,"8 (HQ), 11, 13, 15, Lorong Petai, Pandamaran, Port Klang, Klang",42000.0,Port Klang,Selangor,Malaysia,"603-3168 7481, 3167 0158",603-3167 0424,unicsales1@unicgroup.com,www.teongchuan.com,Film Blowing/Film Extrusion,"HDPE, LDPE, Oxo-Biodegradable and Compostable Bags. Plastic Aprons & Gloves, Garbage Bags, Bags on Roll, Disposable Face Mask, Films and Bags, Strings and Ropes, Agricultural Products and Accessories","Europe, Singapore, Australia, Italy, Canada, Spain, Indonesia, France"
Teck See Plastic Sdn Bhd,36748-V,1984.0,Albert Lim,Managing Director,Lee Meow Lim,Chief Operating Officer,"Lot 4, Jalan Pasak 15/8, Off Jalan Utas, Shah Alam",40200.0,,Selangor,Malaysia,603-5510 3188,603-5510 8718,marketing@unicoloursb.com,www.tecksee.com.my,"Injection Moulding, Precision Injection, Steam Moulding, Gas Injection, Double Colour Injection , Spray-painting, Product Modules Assembly","Electrical and Electronic Products (Computer, LCD, Video Player, Printer Casing and Parts, Audio Speaker Parts, Keytops, Keycaps); Product Assembly (that is, Front Panels, Stand Base); Automotive Products: Parts and Components Module Assembly, Bumper Modules, Instrument Panel Assembly, Interior Trims & Door Trim Assembly, Lights Assembly, Engine Part Modules; Industrial Products: Plastic Pallets, Heavy Duty Industrial Containers, Ceiling Fan, Electrical and Electronics, Industrial and Construction, OEM Manufacturing","Singapore, Indonesia, Thailand, Vietnam, Japan, India, United States, Australia"
Teijin Kasei Malaysia Sdn Bhd,731588-P,,Narushi Hasegawa,Managing Director,Narushi Hasegawa,Managing Director,"Menara Dion # 35 - 02, 27, Jalan Sultan Ismail",50250.0,Kuala Lumpur,Wilayah Persekutuan,Malaysia,603-2078 1288,603-2078 2289,unimaxpackaging@gmail.com,www.teijin.com,,Resins,"Asia, Middle East, Australia, South Africa"
Techfoam Packaging Sdn Bhd,261324-H,1993.0,CK Lim,Managing Director,Raymond Lee,Marketing Manager,"6 ½ Miles, Jalan Tanjung Labuh, Karung Berkunci 505, Batu Pahat",83000.0,,Johor,Malaysia,607-428 6866,607-428 6898,info@umc.com.my,,Foam Moulding,"EPS Foam for Packaging , Packaging",
TCL Plastic Industries Sdn Bhd,380387-A,1996.0,Edward Chuah,Managing Director,Edward Chuah,Managing Director,"Lot 1555, Kampung Jaya Industrial Area, Jalan Kusta, Sungai Buloh",47000.0,,Selangor,Malaysia,603-6156 0184,603-6157 1252,union_poly@yes.my,www.tclplastic.com,"Film Blowing/Film Extrusion, Recycling","Agricultural Plastic Sheet and Film, Shrinkable Film/Bags, Plastic Bags, Recycled Plastic Sheet, Plastic Embossed Sheet , Agricultural, Films and Bags, Gardening",Asia Pacific
Tayo Machinery (M) Sdn Bhd,810535-M,,Thomas Pang,Director,,,"2, 4, 6, Persiaran Industrial Bercham 13, Kawasan Perindustrian Ringan Bercham, Off Jalan Bercham, Ipoh",31400.0,Ipoh,Perak,Malaysia,605 - 547 6330,605 - 547 2331,unip@po.jaring.asia,,,Mould Makers,
Tako Astatic Technology Sdn Bhd,192122-X,1990.0,Albert Kow Kek Hing,Managing Director,Aaron Kow Chung Yang,Executive Director,"15, Jalan Kesuma 2/2 Bandar, Tasik Kesuma",43700.0,Beranang,Selangor,Malaysia,03-8723 8843,03-8723 8844,clchuah@unipipes.com.my,www.tako.com.my,"Film Blowing/Film Extrusion, Printing, Lamination, Slitting, Bag Making","Medical, Cleanroom, ESD Flexible Packaging and Air Bubble Bag, Medical and Pharmaceutical - Products, Parts and Accessories, Films and Bags","Thailand, Indonesia"
TC Polythene Manufacturing Sdn Bhd,36098-U,1977.0,Tan Tai Seng,General Manager,Tan Tai Seng,General Manager,"4, Jalan Budi 9/A, Taman Perindustrian Wawasan, Batu Pahat",83000.0,,Johor,Malaysia,607-4285903/4/5,607-4285902,uniplastpolymerssb@gmail.com,,Film Blowing/Film Extrusion,"Bags and Sacks for Packaging in General, Self-adhesive Bags, Garment Bags, Pillow-case, Envelope Bags , Films and Bags","Singapore, Indonesia, Brunei"
Tan Zhuan Plastic Industries Sdn Bhd,191873-H,1990.0,Tan Chee Keong,Managing Director,Tan Chee Keong,Managing Director,"17 & 19 , Jalan Satria 2, JB Perdana Industrian Park, Skudai",81300.0,,Johor,Malaysia,607-511 6906/07/08/10,607-511 6909,unc@uniquecapability.com,,Film Blowing/Film Extrusion,"HD/HM Bags , Films and Bags",
Takaso Rubber Products Sdn Bhd,87327-V,1978.0,Francis Tee (JP),Managing Director,Lee Cher Ling,Sales & Marketing Manager,"K55, Kawasan Perindustrian Tanjung Agas, Ledang",84000.0,,Johor,Malaysia,606-951 0988,606-9516333,info@unique-diamond.com.my,www.takaso.com,"Blow Moulding, Compression Moulding, Injection Moulding , Silkscreen-painting, Pad-printing, Ultrasonic Welding","Feeding Bottles, Brush, Mugs, Microwave Containers, Cup Cover, Medical and Pharmaceutical Items in General, Accessories, Pacifiers/Teats , Babies/Children's Items, Cutleries, Footwear, Houseware, Kitchenware and Tableware, Medical and Pharmaceutical, Containers and Bottles, Toiletries/Personal Items, Toys, Games, Sports","Australia, Bahrain, Cambodia, Dubai, Egypt, Indonesia, India, Nigeria, Oman, Pakistan, Qatar, Rusian, Singapore, Saudi Arabia, China, Venezuela, Norway, Philippines"
Taiko Drum Industries Sdn Bhd,78727-A,1981.0,,,Tan Sian Chin/Darren Chan Siew Leong,Plant Manager/Regional Sales & Marketing Manager,"Lot 19, Fasa II, Tangga Batu Industrial Estate, Tangga Batu",76400.0,,Melaka,Malaysia,"606-351 3088/89/90/93, 351 6081",606-351 3091,general@unistar.my,www.taikodrumindustries.com,"Blow Moulding, Injection Moulding","Packaging Items in General, Plastic HDPE Drum- 220 L Tight Head Single L-ring Drum, Open Head Drum (30L, 45L, 60L, 80L, 125L, 160L, 214L) , Containers and Bottles","Singapore, Indonesia, Thailand"
Tai Hong Plastic Industries Sdn Bhd,605381-T,1991.0,Poh Yiau Seng,Managing Partner,Poh Yiau Seng,Managing Partner,"TS-10196, Lorong Bertam 3, Kepala Batas, Province Wellesley",13200.0,,Pulau Pinang,Malaysia,604-575 5411/1729/2497,604-575 2420,unitedbluestar@pd.jaring.my,www.taihongplastic.com,"Recycling, Crushing",Recycled Resin,"Hong Kong, China"
Tacoplast Industries Sdn Bhd,557555-M,2001.0,Tony See Yeow Hong,Managing Director,Tony See Yeow Hong,Managing Director,"Plot 245, Lorong Perindustrian Bukit Minyak 16, Kawasan Perindustrian Bukit Minyak, MK 13, S.P.T, Bukit Minyak, Simpang Empat",14100.0,,Pulau Pinang,Malaysia,"604-507 9366,508 7366",604-508 8366,,,"Injection Moulding , Silkscreen-painting, Ultrasonic Welding, Heat Transfer Printing","Industrial Pails and Cans for Food, Paints, Lubricant and Chemical Industry, Custom Made Injection Moulding Products , Industrial and Construction","Singapore, Pakistan, Sri Lanka"
T.T.A. Polymers (M) Sdn Bhd,073196-K,1969.0,CL Tan,Managing Director,CC Tan,Director,"3A, 5-01, Wisma Sri Weld, Weld Quay",10300.0,,Pulau Pinang,Malaysia,604-2617262,604-262 8987,upsbrt@unicaplastics.com,www.tta.com.my,,"Additives, Chemicals, Compounds, Lubricants, Resins",
T-Brand Polymer (M) Sdn Bhd,36098-U,,Tee Boon Hwa,Managing Director,Lim Bee Eng,Manager,"16, Jalan Ekoperniagaan 2/6, Taman Ekoperniagaan, Johor Bahru",81100.0,Johor Bahru,Johor,Malaysia,607-353 4163,607-355 6945,nettrade.universal@yahoo.com,,Recycling,"PE, PP and PS Resins",
Synergy Precision Industries Sdn Bhd,320475-U,1994.0,Styler Chai,Director,Styler Chai,Director,"21, Persiaran Kilang, Jelapang Industrial Estate, Ipoh",30100.0,,Perak,Malaysia,605-526 5321,,,,Injection Moulding,"Pharmacautical Ointment Box, Bottle Cover/Cap, Bottle Insert, Pill Box, Container with Sealed Cover, Measuring Cup and Spoon, Cream Box",Singapore
